Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
6	ENSG00000124588	0	3028869	ENSG00000124588	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000124588.esd
6	ENSG00000079691	0	25620530	ENSG00000079691	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000079691.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000186470.esd
6	ENSG00000234745	0	31357188	ENSG00000234745	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000234745.esd
6	ENSG00000198502	0	32530287	ENSG00000198502	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000198502.esd
6	ENSG00000203778	0	112102790	ENSG00000203778	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000203778.esd
10	ENSG00000042286	0	70132934	ENSG00000042286	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000042286.esd
10	ENSG00000138185	0	95869695	ENSG00000138185	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000138185.esd
16	ENSG00000167523	0	89671272	ENSG00000167523	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000167523.esd
16	ENSG00000185324	0	89696364	ENSG00000185324	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000185324.esd
20	ENSG00000089012	0	1657779	ENSG00000089012	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000089012.esd
11	ENSG00000110665	0	2303049	ENSG00000110665	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000110665.esd
11	ENSG00000064201	0	2318200	ENSG00000064201	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000064201.esd
11	ENSG00000173156	0	67072013	ENSG00000173156	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000173156.esd
11	ENSG00000159063	0	78139660	ENSG00000159063	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000159063.esd
11	ENSG00000246174	0	78175323	ENSG00000246174	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000246174.esd
9	ENSG00000107020	0	5437878	ENSG00000107020	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000107020.esd
9	ENSG00000167136	0	128822677	ENSG00000167136	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000167136.esd
14	ENSG00000131979	0	54902852	ENSG00000131979	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000131979.esd
14	ENSG00000165898	0	74497106	ENSG00000165898	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000165898.esd
17	ENSG00000220205	0	8163546	ENSG00000220205	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000220205.esd
17	ENSG00000176974	0	18363563	ENSG00000176974	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000176974.esd
17	ENSG00000159202	0	48929056	ENSG00000159202	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000159202.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000141560.esd
15	ENSG00000128928	0	40435947	ENSG00000128928	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000128928.esd
15	ENSG00000166140	0	40815084	ENSG00000166140	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000166140.esd
15	ENSG00000140416	0	63071915	ENSG00000140416	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000140416.esd
15	ENSG00000166839	0	64958700	ENSG00000166839	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000166839.esd
22	ENSG00000099977	0	23980469	ENSG00000099977	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000099977.esd
22	ENSG00000100410	0	41468725	ENSG00000100410	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000100410.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000100376.esd
2	ENSG00000115816	0	37231713	ENSG00000115816	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000115816.esd
2	ENSG00000163599	0	203873960	ENSG00000163599	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000163599.esd
12	ENSG00000111671	0	6889358	ENSG00000111671	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000111671.esd
12	ENSG00000010626	0	6914243	ENSG00000010626	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000010626.esd
12	ENSG00000167768	0	52680407	ENSG00000167768	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000167768.esd
12	ENSG00000139625	0	53500063	ENSG00000139625	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000139625.esd
12	ENSG00000166896	0	57957269	ENSG00000166896	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000166896.esd
12	ENSG00000167272	0	120581398	ENSG00000167272	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000167272.esd
3	ENSG00000144741	0	66388116	ENSG00000144741	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000144741.esd
7	ENSG00000128604	0	128950035	ENSG00000128604	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000128604.esd
7	ENSG00000106459	0	129757082	ENSG00000106459	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_40h__ENSG00000106459.esd
