gene_id	chr	pos	pval_exp	beta_exp	F	beta_out	se_out	eaf	b_mr	se_mr	z	p_mr	fdr	locus	known
ENSG00000187010	1	25235176	6.51797e-16	-0.962438	65.27387566760335	-0.0412928	0.0135394	0.343222	0.04290437409994202	0.014067815277451639	-3.0498249553155974	0.0022897477753475583	0.1497495045077303	1_0	True
ENSG00000130775	1	27895439	1.16479e-09	-0.729858	37.027431066755135	0.0165088	0.0133227	0.379991	-0.02261919441864034	0.018253824716588707	1.2391482207060132	0.21529061204255107	0.739641490006281	1_1	False
ENSG00000204138	1	28364117	3.13333e-09	-0.486412	35.099178202189556	-0.0263714	0.0199172	0.357282	0.05421617887716586	0.04094718057942649	-1.3240515735143494	0.18548591705251571	0.739641490006281	1_1	False
ENSG00000084623	1	32234961	1.20725e-08	-0.692184	32.47517282757751	0.0747517	0.0236838	0.0930494	-0.10799397270090035	0.03421604660032593	3.156237597007237	0.0015981861620695769	0.1306517187491879	1_2	False
ENSG00000084072	1	39751586	2.82734e-09	-0.644658	35.299297656518974	0.021348	0.0132889	0.367391	-0.03311523319341418	0.02061387588457756	1.6064535063097773	0.10817430263638814	0.7106915400736518	1_3	False
ENSG00000127124	1	41901317	2.64985e-14	-0.788542	57.97859877097996	0.00372741	0.0129423	0.56146	-0.004726964448310934	0.016412949468766407	0.2880021325421293	0.7733451062674872	0.9607181401546975	1_4	False
ENSG00000157077	1	52297910	1.96112e-08	0.516233	31.53267801903911	-0.0154643	0.0263244	0.0620064	-0.029956046978786708	0.05099325304658942	-0.58745118597195	0.5569007253505325	0.9080602931797719	1_5	False
ENSG00000173406	1	58520031	8.89283e-14	-0.744001	55.59768486975074	-0.00480844	0.0153067	0.190869	0.00646294830248884	0.020573493852830842	-0.3141395598006102	0.753415044825519	0.9596845070309811	1_6	False
ENSG00000116791	1	74733056	3.89994e-11	-0.755339	43.6634180570541	0.00204481	0.0136701	0.658863	-0.002707142091167013	0.018097966608370545	0.14958266581809937	0.8810938849736949	0.9818299111288361	1_7	False
ENSG00000171517	1	84896239	1.5645e-08	0.797677	31.971514320839425	0.00263456	0.0139768	0.364237	0.0033027904778500576	0.01752187915660098	0.18849522065136515	0.8504884617357069	0.9818299111288361	1_8	False
ENSG00000183291	1	87015048	6.62476e-09	0.473156	33.64197566491261	0.00249057	0.0255178	0.833531	0.005263739654574813	0.053931050224450286	0.09760128224219956	0.9222489062873435	0.9898220344770788	1_9	False
