gene_id	SYMBOL	exposure	cell_type	timepoint	category	near_locus	MR_OR	MR_pval	MR_FDR	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP4_ratio
ENSG00000166140	ZFYVE19	ENSG00000166140|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.934320047028267	5.46192634554021e-06	0.0019422610084741	428	1.10502406847625e-09	0.00982286987782512	6.05806530722841e-10	0.00439940699282283	0.985777721418522	0.995556949492581
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_stim_16h	Memory	16h	色素/发色通路	RP11-23I7.1	0.916244083125538	0.000180685583345719	0.0352840981582475	438	4.36239260146346e-07	0.112477968744894	7.28009192447245e-08	0.0179010410972572	0.869620481117669	0.979830301971063
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_uns_0h	Memory	0h	色素/发色通路	RP11-23I7.1	0.931270760658439	0.000180685583345719	0.0352840981582475	438	7.91593323741272e-08	0.118439361734486	1.32103473715361e-08	0.0189028590760145	0.862657686819821	0.978557503322922
ENSG00000136824	SMC2	ENSG00000136824|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.41496724101914	1.4637686388097e-05	0.00473196479964301	1257	4.75909305036095e-07	0.0270609319846927	2.06919422912476e-06	0.116801417930711	0.856135104981061	0.87994960084225
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.9007600646716	0.00018852583380391	0.0352840981582475	748	3.66124795747777e-05	0.133272450331343	5.93234189762441e-06	0.0207482778709432	0.845936726976241	0.976060185932718
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.947405268711067	0.000212304857768131	0.0359502892487368	748	1.58731363992662e-12	0.137500254309254	2.57193375596839e-13	0.021438186638461	0.84106155905044	0.975144124104828
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.944674635313493	0.000212304857768131	0.0359502892487368	748	1.67420832778499e-11	0.145627943918717	2.71272973686074e-12	0.0227645751105454	0.831607480951282	0.97335519701396
ENSG00000198625	MDM4	ENSG00000198625|CD4_Naive_stim_16h	Naive	16h	色素/发色通路	RP11-23I7.1	0.867547322408115	0.000180685583345719	0.0352840981582475	438	0.000303821133488794	0.166505513655741	5.07025841657126e-05	0.0269807815206238	0.80615918110598	0.967615547529898
ENSG00000198625	MDM4	ENSG00000198625|CD4_Naive_uns_0h	Naive	0h	色素/发色通路	RP11-23I7.1	0.918373744243546	0.000469931548812363	0.0593486593254975	438	0.000575397094880665	0.166819180148879	9.60239970698729e-05	0.0270338107210746	0.805475588038097	0.96752732069888
ENSG00000166140	ZFYVE19	ENSG00000166140|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.940457007870445	0.000184122782450946	0.0352840981582475	428	0.000269695011063824	0.140104142579594	0.000147854697166123	0.0760257382684357	0.783452569443741	0.911544319866773
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_stim_40h	Memory	40h	色素/发色通路	RP11-23I7.1	0.839436221096968	0.000469931548812363	0.0593486593254975	438	0.000630976623175649	0.189662375883696	0.000105299275846262	0.0308726988398392	0.778728649377443	0.961866789244089
ENSG00000198625	MDM4	ENSG00000198625|CD4_Naive_stim_5d	Naive	5d	色素/发色通路	RP11-23I7.1	0.877389642150118	0.000469931548812363	0.0593486593254975	438	0.0271513693420274	0.16742699185213	0.00453110214378576	0.0271669962130299	0.773723540449027	0.966079014585119
ENSG00000166140	ZFYVE19	ENSG00000166140|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.87721717636601	0.000184122782450946	0.0352840981582475	428	5.48923072175429e-06	0.153976982450039	3.00935691334642e-06	0.0836523254230448	0.762362193539281	0.901121879650898
ENSG00000198625	MDM4	ENSG00000198625|CD4_Memory_stim_5d	Memory	5d	色素/发色通路	RP11-23I7.1	0.891523294516339	0.0010873321642797	0.110472947890817	438	0.000408069482298425	0.240161526453636	6.80998620277277e-05	0.0393588741271067	0.720003430074932	0.94816851730813
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.916996104029853	0.000500691726593061	0.0593486593254975	748	1.39211154230713e-25	0.253551297529799	2.25564663320001e-26	0.040376996225851	0.706071706244353	0.945907875394207
ENSG00000175691	ZNF77	ENSG00000175691|CD4_Naive_stim_40h	Naive	40h	痣数目通路	MFSD12	0.938310039769881	0.00284578279819925	0.190143143679467	533	2.89303656050965e-05	0.404914565712273	2.50043332917164e-07	0.00290750240881702	0.592148751469971	0.99511390328248
ENSG00000057608	GDI2	ENSG00000057608|CD4_Naive_stim_5d	Naive	5d	痣数目通路	FAM208B;GDI2	0.929913958170671	0.000995014547792383	0.10406681564558	981	1.12926180321551e-08	0.339270431918958	2.67667454366509e-09	0.079835934963021	0.580893619148729	0.879170025820401
ENSG00000175691	ZNF77	ENSG00000175691|CD4_Naive_stim_16h	Naive	16h	痣数目通路	MFSD12	0.938504534119558	0.00284578279819925	0.190143143679467	533	0.0367950463142208	0.391134152873232	0.000318017274335047	0.00281160674081779	0.568941176797394	0.995082478263737
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""	0.951854506872445	0.00444288618786959	0.220050778362388	483	1.12095511690138e-05	0.412709677533016	1.22890853892864e-06	0.044702987496817	0.542574896510458	0.923881030234295
ENSG00000204525	HLA-C	ENSG00000204525|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.07778375769282	0.00123991410617952	0.11896148919191	6238	1.87757038431923e-09	0.264541807424088	1.39555630107165e-09	0.19608867134317	0.539369517959615	0.733378900126107
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.956878451641819	0.000987954020594817	0.10406681564558	483	3.0665183905107e-10	0.425726087153395	3.36183900502401e-11	0.0461444282175476	0.528129484288787	0.91964735431537
ENSG00000111669	TPI1	ENSG00000111669|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	1.30528378999639	0.0014242704019658	0.119232232438671	448	1.15468606099411e-06	0.443861622813427	1.24910203406116e-07	0.0475068845339229	0.508630213056386	0.914577026528592
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.930175086936432	0.00444288618786959	0.220050778362388	483	7.53235392677522e-05	0.457402718354883	8.25775619316e-06	0.0496524208857399	0.492861279463917	0.908477111538864
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.917981084594753	3.60993174278734e-05	0.00987455175180907	1220	5.12492442262469e-06	0.0810320411122237	2.80267276827463e-05	0.442664498715013	0.476270308520658	0.518285198003729
ENSG00000166896	ATP23	ENSG00000166896|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	1.0558836319623	0.00133334369093052	0.119232232438671	336	0.00025540214167145	0.545378491030133	6.30731901173791e-06	0.0130271375025559	0.441332662006628	0.971328586911456
