Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
16	ENSG00000174177	0	88715386	ENSG00000174177	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000174177.esd
16	ENSG00000131165	0	89657845	ENSG00000131165	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000131165.esd
16	ENSG00000167523	0	89671272	ENSG00000167523	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000167523.esd
16	ENSG00000185324	0	89696364	ENSG00000185324	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000185324.esd
13	ENSG00000083642	0	32778019	ENSG00000083642	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000083642.esd
9	ENSG00000135047	0	87731393	ENSG00000135047	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000135047.esd
9	ENSG00000165138	0	98796965	ENSG00000165138	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000165138.esd
9	ENSG00000136824	0	104141417	ENSG00000136824	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000136824.esd
19	ENSG00000174837	0	6940459	ENSG00000174837	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000174837.esd
19	ENSG00000197134	0	22091480	ENSG00000197134	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000197134.esd
19	ENSG00000011485	0	46392981	ENSG00000011485	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000011485.esd
19	ENSG00000105483	0	48255946	ENSG00000105483	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000105483.esd
17	ENSG00000258315	0	7017525	ENSG00000258315	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000258315.esd
17	ENSG00000170291	0	7259940	ENSG00000170291	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000170291.esd
17	ENSG00000108557	0	17811453	ENSG00000108557	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000108557.esd
17	ENSG00000167543	0	29573157	ENSG00000167543	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000167543.esd
17	ENSG00000166260	0	54968785	ENSG00000166260	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000166260.esd
17	ENSG00000141560	0	82730328	ENSG00000141560	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000141560.esd
14	ENSG00000100804	0	23035230	ENSG00000100804	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000100804.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000165410.esd
3	ENSG00000168291	0	58433857	ENSG00000168291	+	D:/R_ex/MR\esd\CD4_Naive_stim_40h__ENSG00000168291.esd
