id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	OR	OR_LCI	OR_UCI	FDR	SYMBOL
ENSG00000005059|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000005059|CD4_Naive_uns_0h	Inverse variance weighted	2	-0.0440215205956231	0.105057650895347	0.675199681245788	0.956933363475496	0.77885178345874	1.17573263819975	0.693662172529853	MCUB
ENSG00000005059|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000005059|CD4_Naive_uns_0h	Inverse variance weighted (multiplicative random effects)	2	-0.0440215205956231	0.105057650895347	0.675199681245788	0.956933363475496	0.77885178345874	1.17573263819975	0.693662172529853	MCUB
ENSG00000010626|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000010626|CD4_Memory_stim_5d	Inverse variance weighted	2	-0.0762621386352136	0.0329634500434065	0.0206931707124119	0.926573284064978	0.868601787720593	0.988413865686318	0.0503953786874921	LRRC23
ENSG00000010626|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000010626|CD4_Memory_stim_5d	Inverse variance weighted (multiplicative random effects)	2	-0.0762621386352136	0.0303270154172849	0.0119147158096592	0.926573284064978	0.873101827672867	0.983319497831396	0.0274874584029857	LRRC23
ENSG00000011485|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000011485|CD4_Naive_stim_40h	Inverse variance weighted	4	-0.169121633951336	0.0682401076984542	0.0131998303867673	0.844406188678102	0.738693462095986	0.96524722102553	0.0369314403374448	PPP5C
ENSG00000011485|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000011485|CD4_Naive_stim_40h	Inverse variance weighted (multiplicative random effects)	4	-0.169121633951336	0.0682401076984542	0.0131998303867673	0.844406188678102	0.738693462095986	0.96524722102553	0.0287814118690645	PPP5C
ENSG00000011485|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000011485|CD4_Naive_stim_40h	Weighted median	4	-0.161706228208963	0.0676009355565382	0.0167536073722348	0.850691076876987	0.745124424422655	0.971214047692577	0.052313342805901	PPP5C
ENSG00000011485|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000011485|CD4_Naive_stim_40h	Weighted mode	4	-0.163797281548871	0.175509540699591	0.419526455497641	0.848914094988898	0.601820541870494	1.1974585288016	0.673013459051566	PPP5C
ENSG00000025708|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000025708|CD4_Naive_uns_0h	Inverse variance weighted	9	0.0152554973763918	0.0127926257652072	0.23305633212442	1.01537245647603	0.990229990573631	1.04115330295432	0.293271843773792	TYMP
ENSG00000025708|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000025708|CD4_Naive_uns_0h	Inverse variance weighted (multiplicative random effects)	9	0.0152554973763918	0.0127926257652072	0.23305633212442	1.01537245647603	0.990229990573631	1.04115330295432	0.291875311184393	TYMP
ENSG00000025708|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000025708|CD4_Naive_uns_0h	Weighted median	9	0.0169353620371786	0.0181156653024611	0.349867533111323	1.01707957824852	0.981600042827003	1.05384150708772	0.383835254772617	TYMP
ENSG00000025708|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000025708|CD4_Naive_uns_0h	Weighted mode	9	0.0357507372992814	0.0345132118065489	0.330562849239127	1.03639747905693	0.968608127722771	1.1089311599324	0.673013459051566	TYMP
ENSG00000035499|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000035499|CD4_Naive_stim_40h	Inverse variance weighted	2	0.151112016720535	0.10247328648789	0.14030722989782	1.16312694045022	0.951480939219788	1.42185116257865	0.194214744542772	DEPDC1B
ENSG00000035499|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000035499|CD4_Naive_stim_40h	Inverse variance weighted (multiplicative random effects)	2	0.151112016720535	0.10247328648789	0.14030722989782	1.16312694045022	0.951480939219788	1.42185116257865	0.193197913419511	DEPDC1B
ENSG00000049167|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000049167|CD4_Naive_stim_5d	Inverse variance weighted	2	0.0585951147407979	0.020943495327944	0.00514564979030325	1.06034583541767	1.01770069680139	1.10477795114157	0.0229373880483009	ERCC8
ENSG00000049167|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000049167|CD4_Naive_stim_5d	Inverse variance weighted (multiplicative random effects)	2	0.0585951147407979	0.0177257151070608	0.000947543744790055	1.06034583541767	1.02413946448635	1.0978322090649	0.00319492313948442	ERCC8
ENSG00000054282|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000054282|CD4_Naive_stim_5d	Inverse variance weighted	2	0.046146904765166	0.0231704198752995	0.0464116624868335	1.04722824247641	1.00073315043307	1.09588354434509	0.0813751148935814	SDCCAG8
ENSG00000054282|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000054282|CD4_Naive_stim_5d	Inverse variance weighted (multiplicative random effects)	2	0.046146904765166	0.0231704198752995	0.0464116624868335	1.04722824247641	1.00073315043307	1.09588354434509	0.0777469250575619	SDCCAG8
ENSG00000057608|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000057608|CD4_Memory_stim_5d	Inverse variance weighted	7	-0.0302998417223521	0.0349683639862702	0.386219877447976	0.970154597107902	0.905889599577122	1.03897863793663	0.434084734054777	GDI2
ENSG00000057608|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000057608|CD4_Memory_stim_5d	Inverse variance weighted (multiplicative random effects)	7	-0.0302998417223521	0.0349683639862702	0.386219877447976	0.970154597107902	0.905889599577122	1.03897863793663	0.434084734054777	GDI2
ENSG00000057608|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000057608|CD4_Memory_stim_5d	Weighted median	7	-0.00769619275705163	0.0438483075585306	0.86067217124634	0.992333347104359	0.910611546945328	1.08138917750234	0.872250720635305	GDI2
ENSG00000057608|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000057608|CD4_Memory_stim_5d	Weighted mode	7	-0.106932715584889	0.124957821773191	0.42498511034434	0.89858613179862	0.703385589368075	1.14795788891016	0.673013459051566	GDI2
ENSG00000057608|CD4_Memory_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000057608|CD4_Memory_uns_0h	Inverse variance weighted	8	-0.0483152595900462	0.0296814454881148	0.103568711032057	0.952833349870875	0.898983235391941	1.00990914722712	0.152170787717492	GDI2
ENSG00000057608|CD4_Memory_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000057608|CD4_Memory_uns_0h	Inverse variance weighted (multiplicative random effects)	8	-0.0483152595900462	0.0296814454881148	0.103568711032057	0.952833349870875	0.898983235391941	1.00990914722712	0.150489342549343	GDI2
